WordCounter 1Nephi.txt
seen => 53
hadnt => 53
find => 53
Stone => 53
while => 52
things => 52
might => 52
floor => 52
feet => 52
Dursleys => 52
Dursley => 52
Aunt => 52
years => 51
pulled => 51
large => 51
front => 51
So => 51
keep => 50
thats => 49
started => 49
gone => 49
felt => 49
end => 49
another => 49
after => 49
Wood => 49
thing => 48
make => 48
hes => 48
Then => 48
Slytherin => 48
All => 48
yer => 47
wouldnt => 47
moment => 47
lot => 47
enough => 47
almost => 47
air => 47
Weasley => 47
If => 47
Filch => 47
walked => 46
mind => 46
fell => 46
Mrs => 46
sat => 45
nothing => 45
night => 45
letter => 45
great => 45
wanted => 44
until => 44
saying => 44
quickly => 44
points => 44
past => 44
done => 44
dark => 44
course => 44
called => 44
Ill => 44
How => 44
name => 43
later => 43
bed => 43
already => 43
Yes => 43
This => 43
sure => 42
read => 42
owl => 42
books => 42
At => 42
As => 42
youre => 41
without => 41
why => 41
second => 41
Now => 41
His => 41
stop => 39
mirror => 39
under => 38
try => 38
table => 38
should => 38
remember => 38
onto => 38
caught => 38
being => 38
always => 38
across => 38
wizard => 37
stood => 37
reached => 37
our => 37
new => 37
gave => 37
full => 37
every => 37
better => 37
When => 37
We => 37
year => 36
wall => 36
same => 36
kept => 36
half => 36
hair => 36
fire => 36
everyone => 36
else => 36
Percy => 36
Madam => 36
whispered => 35
stared => 35
outside => 35
life => 35
high => 35
hat => 35
white => 34
top => 34
theyd => 34
quite => 34
place => 34
mean => 34
magic => 34
hands => 34
hall => 34
ground => 34
broom => 34
Hagrids => 34
Fred => 34
Dont => 34
yet => 33
whole => 33
these => 33
man => 33
four => 33
forward => 33
forest => 33
each => 33
doing => 33
coming => 33
ask => 33
window => 32
train => 32
small => 32
silver => 32
own => 32
hear => 32
anyone => 32
along => 32
Thats => 32
Peeves => 32
standing => 31
side => 31
nose => 31
morning => 31
minutes => 31
has => 31
happened => 31
getting => 31
In => 31
Id => 31
troll => 30
hard => 30
green => 30
best => 30
against => 30
Voldemort => 30
talking => 29
suppose => 29
stopped => 29
shouted => 29
o => 29
noticed => 29
lost => 29
hundred => 29
corridor => 29
both => 29
Who => 29
George => 29
work => 28
team => 28
taken => 28
need => 28
nearly => 28
gold => 28
fer => 28
everything => 28
big => 28
trouble => 27
theyre => 27
red => 27
mother => 27
most => 27
help => 27
father => 27
family => 27
broomstick => 27
bad => 27
Snapes => 27
Not => 27
Hes => 27
Gringotts => 27
Great => 27
yes => 26
werent => 26
sort => 26
many => 26
five => 26
dragon => 26
able => 26
Know => 26
straight => 25
snapped => 25
sitting => 25
sight => 25
round => 25
robes => 25
rest => 25
light => 25
holding => 25
give => 25
funny => 25
corner => 25
cold => 25
Why => 25
Fluffy => 25
Christmas => 25
